title,clean_title,original_title,genres,director,release_year,runtime,budget,revenue,popularity,tmdb_rating,tmdb_votes,imdb_rating,imdb_votes,language,tmdb_id,imdb_id,topics,doesthedog_id
How I Became Russian,how i became russian,Как я стал русским,comedy,"Akaki Sahelashvili, Hao Xia",2019,94,5000000,1668824,3.3,6.5,26,5.3,455,Russian,517543,tt9387352,,169852
Pain and Glory,pain and glory,Dolor y gloria,drama,Pedro Almodóvar,2019,114,10769016,37359689,10.0,7.4,1757,7.5,64508,Spanish,519010,tt8291806,"168,176,192,193,197,212,225,230,245,247",21124
Despicable Me 4,despicable me 4,Despicable Me 4,"animation, family, comedy, action",Chris Renaud,2024,94,100000000,969264325,658.3,7.1,2276,6.2,52862,English,519182,tt7510222,"171,180,190,198,213,216,224,233,243,257,261,266,269,274,284,296,299,318,335,339,343,345,352,354,355,362,366",125368
Bodies Bodies Bodies,bodies bodies bodies,Bodies Bodies Bodies,"horror, comedy, mystery",Halina Reijn,2022,94,3000000,13900000,27.5,6.2,1145,6.2,80448,English,520023,tt8110652,"161,167,177,181,182,187,188,193,194,195,197,199,201,202,211,216,219,222,225,230,232,235,237,241,244,245,247,255,263,265,269,271,277,290,298,299,309,311,318,328,334,336,339,342,343,348,356,360,361,363,366",895958
A Quiet Place Part II,a quiet place part ii,A Quiet Place Part II,"science fiction, thriller, horror",John Krasinski,2021,96,61000000,297372261,68.5,7.5,6528,7.2,294549,English,520763,tt8332922,"161,184,188,189,202,208,216,232,234,235,243,245,255,260,261,266,269,270,274,280,296,305,309,311,313,318,322,327,335,339,343,356,360,363,366",26529
The Personal History of David Copperfield,the personal history of david copperfield,The Personal History of David Copperfield,comedy,Armando Iannucci,2019,119,15600000,11620337,13.0,6.5,461,6.4,23039,English,520900,tt6439020,"167,168,187,191,218,219,225,228,230,241,252,259,261,262,266,268,270,311,335",22595
Annabelle Comes Home,annabelle comes home,Annabelle Comes Home,horror,Gary Dauberman,2019,106,27000000,231252591,50.9,6.4,3508,5.9,90897,English,521029,tt8350360,"161,168,181,184,188,189,201,203,207,224,245,252,269,295,339,343,351,366,369",19449
Good Boys,good boys,Good Boys,comedy,Gene Stupnitsky,2019,89,20000000,111037232,17.2,6.8,1831,6.7,84349,English,521777,tt6977338,"180,184,193,197,201,208,216,255",20173
The 355,the 355,The 355,"action, adventure, thriller",Simon Kinberg,2022,122,75000000,55700000,31.7,6.1,1002,5.6,39671,English,522016,tt8356942,"161,189",489449
Midway,midway,Midway,"action, war, history",Roland Emmerich,2019,138,100000000,127400000,38.5,7.1,2453,6.7,97540,English,522162,tt6924650,,24086
Just Mercy,just mercy,Just Mercy,"drama, crime, history",Destin Daniel Cretton,2019,137,25000000,50401502,31.1,7.9,2220,7.6,78186,English,522212,tt4916630,"177,212,234,235,241,242,245,251",22713
Peter Rabbit 2: The Runaway,peter rabbit 2 the runaway,Peter Rabbit 2: The Runaway,"family, comedy, adventure, animation",Will Gluck,2021,93,45000000,153000000,36.2,7.1,802,6.2,15313,English,522478,tt8376234,,
A Dog's Journey,a dogs journey,A Dog's Journey,"family, adventure, drama",Gail Mancuso,2019,109,16000000,78871079,26.1,8.1,1497,7.4,30101,English,522518,tt8385474,"153,168,184,189,190,204,218,219,222,225,230,233,237,242,252,253,266,269,285,298,305,311,313,328,347,350,355,363,367",198061
